site_id,date,rainfall_mm,rainfall_source,soil_moisture_m3m3,soil_moisture_source,lst_day_c,lst_source,ndvi,ndvi_age_days,ndvi_source
balaghat,2025-01-27,0.00,CHIRPS,0.0561,SMAP_L4,23.72,MODIS_MOD11A1,0.5972,0,S2_median_10d
balaghat,2025-01-28,0.00,CHIRPS,0.0568,SMAP_L4,,,0.5972,0,S2_median_10d
balaghat,2025-01-29,0.00,CHIRPS,0.0571,SMAP_L4,23.33,MODIS_MOD11A1,0.5972,0,S2_median_10d
balaghat,2025-01-30,0.00,CHIRPS,0.0609,SMAP_L4,24.62,MODIS_MOD11A1,0.5972,0,S2_median_10d
balaghat,2025-01-31,0.00,CHIRPS,0.0629,SMAP_L4,24.56,MODIS_MOD11A1,0.5308,0,S2_median_10d
balaghat,2025-02-01,0.00,CHIRPS,0.0626,SMAP_L4,25.16,MODIS_MOD11A1,0.5308,0,S2_median_10d
balaghat,2025-02-02,0.00,CHIRPS,0.0592,SMAP_L4,,,0.5308,0,S2_median_10d
balaghat,2025-02-03,0.00,CHIRPS,0.0611,SMAP_L4,26.97,MODIS_MOD11A1,0.5308,0,S2_median_10d
balaghat,2025-02-04,0.00,CHIRPS,0.0638,SMAP_L4,25.03,MODIS_MOD11A1,0.5308,0,S2_median_10d
balaghat,2025-02-05,0.00,CHIRPS,0.0693,SMAP_L4,26.80,MODIS_MOD11A1,0.5308,0,S2_median_10d
balaghat,2025-02-06,3.61,CHIRPS,0.0689,SMAP_L4,23.06,MODIS_MOD11A1,0.5308,0,S2_median_10d
balaghat,2025-02-07,2.13,CHIRPS,0.0627,SMAP_L4,,,0.5308,0,S2_median_10d
balaghat,2025-02-08,1.02,CHIRPS,0.0583,SMAP_L4,24.43,MODIS_MOD11A1,0.5308,0,S2_median_10d
balaghat,2025-02-09,0.00,CHIRPS,0.0594,SMAP_L4,,,0.5308,0,S2_median_10d
balaghat,2025-02-10,0.00,CHIRPS,0.0601,SMAP_L4,25.41,MODIS_MOD11A1,0.5027,0,S2_median_10d
balaghat,2025-02-11,0.00,CHIRPS,0.0594,SMAP_L4,26.70,MODIS_MOD11A1,0.5027,0,S2_median_10d
balaghat,2025-02-12,0.00,CHIRPS,0.0622,SMAP_L4,25.49,MODIS_MOD11A1,0.5027,0,S2_median_10d
balaghat,2025-02-13,0.00,CHIRPS,0.0635,SMAP_L4,25.07,MODIS_MOD11A1,0.5027,0,S2_median_10d
balaghat,2025-02-14,0.00,CHIRPS,0.0586,SMAP_L4,,,0.5027,0,S2_median_10d
balaghat,2025-02-15,0.00,CHIRPS,0.0543,SMAP_L4,26.09,MODIS_MOD11A1,0.5027,0,S2_median_10d
balaghat,2025-02-16,0.00,CHIRPS,0.0580,SMAP_L4,27.65,MODIS_MOD11A1,0.5027,0,S2_median_10d
balaghat,2025-02-17,0.00,CHIRPS,0.0582,SMAP_L4,26.26,MODIS_MOD11A1,0.5027,0,S2_median_10d
balaghat,2025-02-18,0.00,CHIRPS,0.0539,SMAP_L4,27.26,MODIS_MOD11A1,0.5027,0,S2_median_10d
balaghat,2025-02-19,0.00,CHIRPS,0.0648,SMAP_L4,,,0.5027,0,S2_median_10d
balaghat,2025-02-20,0.00,CHIRPS,0.0624,SMAP_L4,28.07,MODIS_MOD11A1,0.5250,0,S2_median_10d
balaghat,2025-02-21,0.00,CHIRPS,0.0604,SMAP_L4,28.33,MODIS_MOD11A1,0.5250,0,S2_median_10d
balaghat,2025-02-22,0.00,CHIRPS,0.0645,SMAP_L4,25.63,MODIS_MOD11A1,0.5250,0,S2_median_10d
balaghat,2025-02-23,0.00,CHIRPS,0.0619,SMAP_L4,28.31,MODIS_MOD11A1,0.5250,0,S2_median_10d
balaghat,2025-02-24,0.00,CHIRPS,0.0606,SMAP_L4,,,0.5250,0,S2_median_10d
balaghat,2025-02-25,0.00,CHIRPS,0.0602,SMAP_L4,27.15,MODIS_MOD11A1,0.5250,0,S2_median_10d
balaghat,2025-02-26,0.00,CHIRPS,0.0569,SMAP_L4,28.37,MODIS_MOD11A1,0.5250,0,S2_median_10d
balaghat,2025-02-27,0.63,CHIRPS,0.0600,SMAP_L4,28.36,MODIS_MOD11A1,0.5250,0,S2_median_10d
balaghat,2025-02-28,3.14,CHIRPS,0.0572,SMAP_L4,,,0.5250,0,S2_median_10d
balaghat,2025-03-01,0.00,CHIRPS,0.0573,SMAP_L4,26.52,MODIS_MOD11A1,0.5250,0,S2_median_10d
balaghat,2025-03-02,0.00,CHIRPS,0.0503,SMAP_L4,29.52,MODIS_MOD11A1,0.4941,0,S2_median_10d
balaghat,2025-03-03,0.00,CHIRPS,0.0505,SMAP_L4,29.66,MODIS_MOD11A1,0.4941,0,S2_median_10d
balaghat,2025-03-04,0.00,CHIRPS,0.0552,SMAP_L4,30.30,MODIS_MOD11A1,0.4941,0,S2_median_10d
balaghat,2025-03-05,0.33,CHIRPS,0.0496,SMAP_L4,26.28,MODIS_MOD11A1,0.4941,0,S2_median_10d
balaghat,2025-03-06,0.00,CHIRPS,0.0397,SMAP_L4,,,0.4941,0,S2_median_10d
balaghat,2025-03-07,0.00,CHIRPS,0.0422,SMAP_L4,29.32,MODIS_MOD11A1,0.4941,0,S2_median_10d
balaghat,2025-03-08,0.00,CHIRPS,0.0412,SMAP_L4,30.15,MODIS_MOD11A1,0.4941,0,S2_median_10d
balaghat,2025-03-09,0.00,CHIRPS,0.0427,SMAP_L4,31.32,MODIS_MOD11A1,0.4941,0,S2_median_10d
balaghat,2025-03-10,0.00,CHIRPS,0.0437,SMAP_L4,30.52,MODIS_MOD11A1,0.4941,0,S2_median_10d
balaghat,2025-03-11,0.00,CHIRPS,0.0384,SMAP_L4,30.90,MODIS_MOD11A1,0.4941,0,S2_median_10d
balaghat,2025-03-12,0.00,CHIRPS,0.0403,SMAP_L4,32.70,MODIS_MOD11A1,0.4241,0,S2_median_10d
balaghat,2025-03-13,0.00,CHIRPS,0.0457,SMAP_L4,32.53,MODIS_MOD11A1,0.4241,0,S2_median_10d
balaghat,2025-03-14,0.00,CHIRPS,0.0457,SMAP_L4,32.74,MODIS_MOD11A1,0.4241,0,S2_median_10d
balaghat,2025-03-15,0.00,CHIRPS,0.0462,SMAP_L4,32.34,MODIS_MOD11A1,0.4241,0,S2_median_10d
balaghat,2025-03-16,5.67,CHIRPS,0.0431,SMAP_L4,28.54,MODIS_MOD11A1,0.4241,0,S2_median_10d
balaghat,2025-03-17,0.00,CHIRPS,0.0407,SMAP_L4,32.19,MODIS_MOD11A1,0.4241,0,S2_median_10d
balaghat,2025-03-18,0.00,CHIRPS,0.0475,SMAP_L4,31.97,MODIS_MOD11A1,0.4241,0,S2_median_10d
balaghat,2025-03-19,0.00,CHIRPS,0.0417,SMAP_L4,30.41,MODIS_MOD11A1,0.4241,0,S2_median_10d
balaghat,2025-03-20,0.00,CHIRPS,0.0430,SMAP_L4,31.42,MODIS_MOD11A1,0.4241,0,S2_median_10d
balaghat,2025-03-21,0.00,CHIRPS,0.0434,SMAP_L4,,,0.4241,0,S2_median_10d
balaghat,2025-03-22,0.00,CHIRPS,0.0430,SMAP_L4,31.81,MODIS_MOD11A1,0.4010,0,S2_median_10d
balaghat,2025-03-23,1.84,CHIRPS,0.0418,SMAP_L4,,,0.4010,0,S2_median_10d
balaghat,2025-03-24,0.00,CHIRPS,0.0411,SMAP_L4,34.98,MODIS_MOD11A1,0.4010,0,S2_median_10d
balaghat,2025-03-25,0.00,CHIRPS,0.0422,SMAP_L4,34.82,MODIS_MOD11A1,0.4010,0,S2_median_10d
balaghat,2025-03-26,0.00,CHIRPS,0.0423,SMAP_L4,33.98,MODIS_MOD11A1,0.4010,0,S2_median_10d
balaghat,2025-03-27,0.00,CHIRPS,0.0421,SMAP_L4,35.67,MODIS_MOD11A1,0.4010,0,S2_median_10d
balaghat,2025-03-28,0.00,CHIRPS,0.0422,SMAP_L4,,,0.4010,0,S2_median_10d
balaghat,2025-03-29,0.00,CHIRPS,0.0416,SMAP_L4,34.01,MODIS_MOD11A1,0.4010,0,S2_median_10d
balaghat,2025-03-30,2.91,CHIRPS,0.0419,SMAP_L4,35.48,MODIS_MOD11A1,0.4010,0,S2_median_10d
balaghat,2025-03-31,0.00,CHIRPS,0.0434,SMAP_L4,32.28,MODIS_MOD11A1,0.4010,0,S2_median_10d
balaghat,2025-04-01,0.00,CHIRPS,0.0500,SMAP_L4,30.91,MODIS_MOD11A1,0.3727,0,S2_median_10d
balaghat,2025-04-02,0.00,CHIRPS,0.0744,SMAP_L4,,,0.3727,0,S2_median_10d
balaghat,2025-04-03,1.50,CHIRPS,0.1035,SMAP_L4,,,0.3727,0,S2_median_10d
balaghat,2025-04-04,0.00,CHIRPS,0.1178,SMAP_L4,29.68,MODIS_MOD11A1,0.3727,0,S2_median_10d
balaghat,2025-04-05,0.00,CHIRPS,0.0744,SMAP_L4,33.33,MODIS_MOD11A1,0.3727,0,S2_median_10d
balaghat,2025-04-06,0.00,CHIRPS,0.0505,SMAP_L4,37.94,MODIS_MOD11A1,0.3727,0,S2_median_10d
balaghat,2025-04-07,0.00,CHIRPS,0.0451,SMAP_L4,,,0.3727,0,S2_median_10d
balaghat,2025-04-08,0.00,CHIRPS,0.0374,SMAP_L4,35.64,MODIS_MOD11A1,0.3727,0,S2_median_10d
balaghat,2025-04-09,3.38,CHIRPS,0.0449,SMAP_L4,33.41,MODIS_MOD11A1,0.3727,0,S2_median_10d
balaghat,2025-04-10,0.00,CHIRPS,0.0622,SMAP_L4,32.73,MODIS_MOD11A1,0.3727,0,S2_median_10d
balaghat,2025-04-11,0.00,CHIRPS,0.0636,SMAP_L4,35.38,MODIS_MOD11A1,0.3755,0,S2_median_10d
balaghat,2025-04-12,0.00,CHIRPS,0.0421,SMAP_L4,,,0.3755,0,S2_median_10d
balaghat,2025-04-13,0.00,CHIRPS,0.0326,SMAP_L4,36.77,MODIS_MOD11A1,0.3755,0,S2_median_10d
balaghat,2025-04-14,0.00,CHIRPS,0.0461,SMAP_L4,,,0.3755,0,S2_median_10d
balaghat,2025-04-15,0.02,CHIRPS,0.0383,SMAP_L4,33.90,MODIS_MOD11A1,0.3755,0,S2_median_10d
balaghat,2025-04-16,0.00,CHIRPS,0.0360,SMAP_L4,35.60,MODIS_MOD11A1,0.3755,0,S2_median_10d
balaghat,2025-04-17,0.00,CHIRPS,0.0359,SMAP_L4,,,0.3755,0,S2_median_10d
balaghat,2025-04-18,0.00,CHIRPS,0.0377,SMAP_L4,36.73,MODIS_MOD11A1,0.3755,0,S2_median_10d
balaghat,2025-04-19,1.79,CHIRPS,0.0424,SMAP_L4,32.92,MODIS_MOD11A1,0.3755,0,S2_median_10d
balaghat,2025-04-20,1.97,CHIRPS,0.0375,SMAP_L4,38.71,MODIS_MOD11A1,0.3755,0,S2_median_10d
balaghat,2025-04-21,0.00,CHIRPS,0.0338,SMAP_L4,40.10,MODIS_MOD11A1,0.3924,0,S2_median_10d
balaghat,2025-04-22,0.00,CHIRPS,0.0344,SMAP_L4,35.58,MODIS_MOD11A1,0.3924,0,S2_median_10d
balaghat,2025-04-23,1.66,CHIRPS,0.0342,SMAP_L4,39.80,MODIS_MOD11A1,0.3924,0,S2_median_10d
balaghat,2025-04-24,0.00,CHIRPS,0.0368,SMAP_L4,39.21,MODIS_MOD11A1,0.3924,0,S2_median_10d
balaghat,2025-04-25,0.00,CHIRPS,0.0378,SMAP_L4,38.42,MODIS_MOD11A1,0.3924,0,S2_median_10d
balaghat,2025-04-26,4.53,CHIRPS,0.0392,SMAP_L4,38.86,MODIS_MOD11A1,0.3924,0,S2_median_10d
balaghat,2025-04-27,0.00,CHIRPS,0.0673,SMAP_L4,,,0.3924,0,S2_median_10d
balaghat,2025-04-28,0.00,CHIRPS,0.0830,SMAP_L4,32.21,MODIS_MOD11A1,0.3924,0,S2_median_10d
balaghat,2025-04-29,0.00,CHIRPS,0.0566,SMAP_L4,29.38,MODIS_MOD11A1,0.3924,0,S2_median_10d
balaghat,2025-04-30,0.00,CHIRPS,0.0552,SMAP_L4,35.38,MODIS_MOD11A1,0.3924,0,S2_median_10d
balaghat,2025-05-01,0.76,CHIRPS,0.0551,SMAP_L4,34.23,MODIS_MOD11A1,0.4087,0,S2_median_10d
balaghat,2025-05-02,0.00,CHIRPS,0.0492,SMAP_L4,27.10,MODIS_MOD11A1,0.4087,0,S2_median_10d
balaghat,2025-05-03,0.41,CHIRPS,0.1046,SMAP_L4,34.92,MODIS_MOD11A1,0.4087,0,S2_median_10d
balaghat,2025-05-04,0.00,CHIRPS,0.1436,SMAP_L4,29.51,MODIS_MOD11A1,0.4087,0,S2_median_10d
balaghat,2025-05-05,0.00,CHIRPS,0.1501,SMAP_L4,34.75,MODIS_MOD11A1,0.4087,0,S2_median_10d
balaghat,2025-05-06,0.00,CHIRPS,0.1323,SMAP_L4,32.54,MODIS_MOD11A1,0.4087,0,S2_median_10d
balaghat,2025-05-07,0.00,CHIRPS,0.0898,SMAP_L4,,,0.4087,0,S2_median_10d
balaghat,2025-05-08,0.36,CHIRPS,0.0595,SMAP_L4,34.48,MODIS_MOD11A1,0.4087,0,S2_median_10d
balaghat,2025-05-09,0.76,CHIRPS,0.0394,SMAP_L4,,,0.4087,0,S2_median_10d
balaghat,2025-05-10,0.06,CHIRPS,0.0344,SMAP_L4,37.11,MODIS_MOD11A1,0.4087,0,S2_median_10d
balaghat,2025-05-11,0.00,CHIRPS,0.0370,SMAP_L4,36.66,MODIS_MOD11A1,0.4578,0,S2_median_10d
balaghat,2025-05-12,0.00,CHIRPS,0.0400,SMAP_L4,,,0.4578,0,S2_median_10d
balaghat,2025-05-13,0.00,CHIRPS,0.0407,SMAP_L4,,,0.4578,0,S2_median_10d
balaghat,2025-05-14,0.00,CHIRPS,0.0479,SMAP_L4,,,0.4578,0,S2_median_10d
balaghat,2025-05-15,0.07,CHIRPS,0.0441,SMAP_L4,,,0.4578,0,S2_median_10d
balaghat,2025-05-16,1.81,CHIRPS,0.0481,SMAP_L4,,,0.4578,0,S2_median_10d
balaghat,2025-05-17,0.80,CHIRPS,0.0887,SMAP_L4,,,0.4578,0,S2_median_10d
balaghat,2025-05-18,0.70,CHIRPS,0.1419,SMAP_L4,31.19,MODIS_MOD11A1,0.4578,0,S2_median_10d
balaghat,2025-05-19,0.00,CHIRPS,0.1071,SMAP_L4,29.03,MODIS_MOD11A1,0.4578,0,S2_median_10d
balaghat,2025-05-20,0.04,CHIRPS,0.1157,SMAP_L4,34.24,MODIS_MOD11A1,0.4578,0,S2_median_10d
balaghat,2025-05-21,0.00,CHIRPS,0.1170,SMAP_L4,,,0.4188,0,S2_median_10d
balaghat,2025-05-22,0.00,CHIRPS,0.1325,SMAP_L4,,,0.4188,0,S2_median_10d
balaghat,2025-05-23,0.00,CHIRPS,0.0941,SMAP_L4,,,0.4188,0,S2_median_10d
balaghat,2025-05-24,8.33,CHIRPS,0.0850,SMAP_L4,,,0.4188,0,S2_median_10d
balaghat,2025-05-25,0.00,CHIRPS,0.0685,SMAP_L4,,,0.4188,0,S2_median_10d
balaghat,2025-05-26,4.31,CHIRPS,0.1072,SMAP_L4,,,0.4188,0,S2_median_10d
balaghat,2025-05-27,9.87,CHIRPS,0.1915,SMAP_L4,,,0.4188,0,S2_median_10d
balaghat,2025-05-28,8.81,CHIRPS,0.1998,SMAP_L4,,,0.4188,0,S2_median_10d
balaghat,2025-05-29,5.20,CHIRPS,0.1854,SMAP_L4,,,0.4188,0,S2_median_10d
balaghat,2025-05-30,2.40,CHIRPS,0.1492,SMAP_L4,28.52,MODIS_MOD11A1,0.4188,0,S2_median_10d
balaghat,2025-05-31,2.45,CHIRPS,0.1335,SMAP_L4,,,0.5639,0,S2_median_10d
balaghat,2025-06-01,0.00,CHIRPS,0.1316,SMAP_L4,,,0.5639,0,S2_median_10d
balaghat,2025-06-02,0.00,CHIRPS,0.1031,SMAP_L4,31.72,MODIS_MOD11A1,0.5639,0,S2_median_10d
balaghat,2025-06-03,0.00,CHIRPS,0.0739,SMAP_L4,,,0.5639,0,S2_median_10d
balaghat,2025-06-04,0.00,CHIRPS,0.0676,SMAP_L4,33.19,MODIS_MOD11A1,0.5639,0,S2_median_10d
balaghat,2025-06-05,0.00,CHIRPS,0.0679,SMAP_L4,31.91,MODIS_MOD11A1,0.5639,0,S2_median_10d
balaghat,2025-06-06,0.00,CHIRPS,0.0457,SMAP_L4,32.41,MODIS_MOD11A1,0.5639,0,S2_median_10d
balaghat,2025-06-07,0.00,CHIRPS,0.0462,SMAP_L4,,,0.5639,0,S2_median_10d
balaghat,2025-06-08,0.00,CHIRPS,0.0446,SMAP_L4,,,0.5639,0,S2_median_10d
balaghat,2025-06-09,0.00,CHIRPS,0.0471,SMAP_L4,34.96,MODIS_MOD11A1,0.5639,0,S2_median_10d
balaghat,2025-06-10,22.72,CHIRPS,0.1104,SMAP_L4,,,0.5535,0,S2_median_10d
balaghat,2025-06-11,0.00,CHIRPS,0.1416,SMAP_L4,,,0.5535,0,S2_median_10d
balaghat,2025-06-12,0.30,CHIRPS,0.0911,SMAP_L4,32.96,MODIS_MOD11A1,0.5535,0,S2_median_10d
balaghat,2025-06-13,0.00,CHIRPS,0.0670,SMAP_L4,,,0.5535,0,S2_median_10d
balaghat,2025-06-14,6.57,CHIRPS,0.0579,SMAP_L4,33.51,MODIS_MOD11A1,0.5535,0,S2_median_10d
balaghat,2025-06-15,9.14,CHIRPS,0.1153,SMAP_L4,,,0.5535,0,S2_median_10d
balaghat,2025-06-16,0.72,CHIRPS,0.1557,SMAP_L4,,,0.5535,0,S2_median_10d
balaghat,2025-06-17,0.11,CHIRPS,0.1416,SMAP_L4,,,0.5535,0,S2_median_10d
balaghat,2025-06-18,5.31,CHIRPS,0.1285,SMAP_L4,,,0.5535,0,S2_median_10d
balaghat,2025-06-19,2.05,CHIRPS,0.1244,SMAP_L4,,,0.5535,0,S2_median_10d
balaghat,2025-06-20,3.81,CHIRPS,0.1637,SMAP_L4,,,,,
balaghat,2025-06-21,0.00,CHIRPS,0.1488,SMAP_L4,,,,,
balaghat,2025-06-22,0.00,CHIRPS,0.1375,SMAP_L4,,,,,
balaghat,2025-06-23,10.03,CHIRPS,0.1618,SMAP_L4,,,,,
balaghat,2025-06-24,9.91,CHIRPS,0.1772,SMAP_L4,,,,,
balaghat,2025-06-25,17.20,CHIRPS,0.1786,SMAP_L4,,,,,
balaghat,2025-06-26,16.12,CHIRPS,0.1742,SMAP_L4,,,,,
balaghat,2025-06-27,33.59,CHIRPS,0.1915,SMAP_L4,,,,,
balaghat,2025-06-28,7.83,CHIRPS,0.2110,SMAP_L4,,,,,
balaghat,2025-06-29,0.00,CHIRPS,0.1845,SMAP_L4,,,,,
balaghat,2025-06-30,0.00,CHIRPS,0.1939,SMAP_L4,,,,,
balaghat,2025-07-01,7.60,CHIRPS,0.2181,SMAP_L4,,,,,
balaghat,2025-07-02,4.17,CHIRPS,0.2200,SMAP_L4,,,,,
balaghat,2025-07-03,20.45,CHIRPS,0.2442,SMAP_L4,,,,,
balaghat,2025-07-04,28.22,CHIRPS,0.2704,SMAP_L4,,,,,
balaghat,2025-07-05,13.63,CHIRPS,0.2712,SMAP_L4,,,,,
balaghat,2025-07-06,44.39,CHIRPS,0.2912,SMAP_L4,,,,,
balaghat,2025-07-07,40.09,CHIRPS,0.3592,SMAP_L4,,,,,
balaghat,2025-07-08,35.18,CHIRPS,0.3275,SMAP_L4,,,,,
balaghat,2025-07-09,9.51,CHIRPS,0.3112,SMAP_L4,,,,,
balaghat,2025-07-10,19.46,CHIRPS,0.3226,SMAP_L4,,,,,
balaghat,2025-07-11,0.00,CHIRPS,0.3032,SMAP_L4,,,,,
balaghat,2025-07-12,16.80,CHIRPS,0.3046,SMAP_L4,,,,,
balaghat,2025-07-13,7.09,CHIRPS,0.3029,SMAP_L4,,,,,
balaghat,2025-07-14,23.29,CHIRPS,0.3228,SMAP_L4,,,,,
balaghat,2025-07-15,35.26,CHIRPS,0.3353,SMAP_L4,,,,,
balaghat,2025-07-16,18.83,CHIRPS,0.3365,SMAP_L4,,,,,
balaghat,2025-07-17,10.12,CHIRPS,0.3365,SMAP_L4,,,,,
balaghat,2025-07-18,1.92,CHIRPS,0.3262,SMAP_L4,,,,,
balaghat,2025-07-19,5.20,CHIRPS,0.3141,SMAP_L4,28.35,MODIS_MOD11A1,,,
balaghat,2025-07-20,8.32,CHIRPS,0.3433,SMAP_L4,,,,,
balaghat,2025-07-21,5.96,CHIRPS,0.3315,SMAP_L4,,,,,
balaghat,2025-07-22,11.89,CHIRPS,0.3342,SMAP_L4,,,,,
balaghat,2025-07-23,20.64,CHIRPS,0.3721,SMAP_L4,,,,,
balaghat,2025-07-24,35.61,CHIRPS,0.3729,SMAP_L4,,,,,
balaghat,2025-07-25,31.93,CHIRPS,0.3828,SMAP_L4,,,,,
balaghat,2025-07-26,36.63,CHIRPS,0.3801,SMAP_L4,,,,,
balaghat,2025-07-27,0.00,CHIRPS,0.3732,SMAP_L4,,,,,
balaghat,2025-07-28,39.13,CHIRPS,0.3696,SMAP_L4,,,,,
balaghat,2025-07-29,60.63,CHIRPS,0.3854,SMAP_L4,,,,,
balaghat,2025-07-30,0.00,CHIRPS,0.3750,SMAP_L4,,,0.5898,0,S2_median_10d
balaghat,2025-07-31,0.00,CHIRPS,0.3657,SMAP_L4,,,0.5898,0,S2_median_10d
balaghat,2025-08-01,0.00,CHIRPS,0.3605,SMAP_L4,,,0.5898,0,S2_median_10d
balaghat,2025-08-02,7.12,CHIRPS,0.3596,SMAP_L4,,,0.5898,0,S2_median_10d
balaghat,2025-08-03,0.00,CHIRPS,0.3589,SMAP_L4,,,0.5898,0,S2_median_10d
balaghat,2025-08-04,0.00,CHIRPS,0.3505,SMAP_L4,25.75,MODIS_MOD11A1,0.5898,0,S2_median_10d
balaghat,2025-08-05,0.00,CHIRPS,0.3369,SMAP_L4,,,0.5898,0,S2_median_10d
balaghat,2025-08-06,12.21,CHIRPS,0.3354,SMAP_L4,,,0.5898,0,S2_median_10d
balaghat,2025-08-07,32.01,CHIRPS,0.3585,SMAP_L4,,,0.5898,0,S2_median_10d
balaghat,2025-08-08,3.40,CHIRPS,0.3604,SMAP_L4,,,0.5898,0,S2_median_10d
balaghat,2025-08-09,0.00,CHIRPS,0.3600,SMAP_L4,,,0.6126,0,S2_median_10d
balaghat,2025-08-10,0.00,CHIRPS,0.3401,SMAP_L4,,,0.6126,0,S2_median_10d
balaghat,2025-08-11,0.00,CHIRPS,0.3269,SMAP_L4,,,0.6126,0,S2_median_10d
balaghat,2025-08-12,14.93,CHIRPS,0.3463,SMAP_L4,,,0.6126,0,S2_median_10d
balaghat,2025-08-13,33.13,CHIRPS,0.3669,SMAP_L4,,,0.6126,0,S2_median_10d
balaghat,2025-08-14,10.03,CHIRPS,0.3548,SMAP_L4,,,0.6126,0,S2_median_10d
balaghat,2025-08-15,28.65,CHIRPS,0.3596,SMAP_L4,,,0.6126,0,S2_median_10d
balaghat,2025-08-16,0.16,CHIRPS,0.3504,SMAP_L4,,,0.6126,0,S2_median_10d
balaghat,2025-08-17,22.03,CHIRPS,0.3349,SMAP_L4,,,0.6126,0,S2_median_10d
balaghat,2025-08-18,6.77,CHIRPS,0.3323,SMAP_L4,,,0.6126,0,S2_median_10d
balaghat,2025-08-19,48.17,CHIRPS,0.3654,SMAP_L4,,,,,
balaghat,2025-08-20,40.44,CHIRPS,0.3660,SMAP_L4,,,,,
balaghat,2025-08-21,29.22,CHIRPS,0.3603,SMAP_L4,,,,,
balaghat,2025-08-22,49.81,CHIRPS,0.3730,SMAP_L4,,,,,
balaghat,2025-08-23,2.81,CHIRPS,0.3771,SMAP_L4,,,,,
balaghat,2025-08-24,1.78,CHIRPS,0.3643,SMAP_L4,,,,,
balaghat,2025-08-25,0.00,CHIRPS,0.3551,SMAP_L4,,,,,
balaghat,2025-08-26,21.68,CHIRPS,0.3667,SMAP_L4,,,,,
balaghat,2025-08-27,2.39,CHIRPS,0.3651,SMAP_L4,,,,,
balaghat,2025-08-28,6.54,CHIRPS,0.3528,SMAP_L4,,,,,
balaghat,2025-08-29,0.00,CHIRPS,0.3440,SMAP_L4,,,0.6021,0,S2_median_10d
balaghat,2025-08-30,0.00,CHIRPS,0.3358,SMAP_L4,,,0.6021,0,S2_median_10d
